id,model,price,ram,cpu,weight,layer
45,Dell Inspiron 7773,999,12,1.6,2.77,1
46,Apple MacBook Pro,1419,8,2,1.37,3
47,Lenovo IdeaPad 320-15ISK,369,4,2,2.2,2
48,Asus Rog Strix,1299,8,3,3.2,2
49,Dell Inspiron 3567,639,4,2.5,2.3,6
50,Asus X751NV-TY001T (N4200/4GB/1TB/GeForce,466,4,1.1,2.8,5
51,Lenovo Yoga Book,319,4,1.44,0.69,1
52,Acer Aspire A515-51G,841,8,1.8,2.2,4
53,HP 255 G6,398.49,4,2.5,1.86,2
54,HP ProBook 430,1103,8,1.8,1.49,3
55,Acer Aspire 3,384,4,2.4,2.4,2
56,Dell Inspiron 3576,767.8,8,1.8,2.13,3
57,HP 15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),439,4,2,1.91,4
58,Asus VivoBook Max,586.19,4,2.5,2,5
59,MSI GS73VR 7RG,2449,16,2.8,2.43,3
60,Asus X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),415,4,2,2,3
61,Dell Inspiron 5770,1299,16,1.8,2.8,2
62,Dell Vostro 5471,879,8,1.6,1.7,4
63,Lenovo IdeaPad 520S-14IKB,599,8,2.7,1.7,1
64,Asus UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),941,8,1.6,1.4,2
66,HP 250 G6,690,8,2.5,1.86,2
67,Asus ZenBook Pro,1983,16,2.8,1.8,1
68,HP 250 G6,438.69,4,2,1.86,3
69,HP Stream 14-AX040wm,229,4,1.6,1.44,1
70,Lenovo V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),549,4,2.5,1.9,4
71,Asus FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,949,12,2.8,3,1
72,Microsoft Surface Laptop,1089,4,2.5,1.252,2
73,Dell Inspiron 5370,955,8,1.8,1.4,2
74,Dell Inspiron 5570,870,8,1.8,2.2,5
75,MSI GL72M 7RDX,1095,8,2.5,2.7,5
76,Acer Aspire E5-475,389,8,2,2.1,1
77,Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,949,8,2.8,2.2,1
78,Lenovo IdeaPad 320-15IKBN,519,8,2.5,2.2,1
79,Dell Inspiron 5570,855,8,1.8,2.02,3
80,Acer Aspire A515-51G-32MX,530,4,2.7,2.2,3
81,HP ProBook 470,977,8,1.6,2.5,7
82,Dell Latitude 5590,1096.16,8,1.6,1.88,5
83,Apple ""MacBook 12"""""",1510,8,1.3,0.92,1
84,HP ProBook 440,860,8,1.6,1.63,3
85,Lenovo IdeaPad 320-15AST,399,4,2.5,2.2,3
86,Acer Aspire 3,395,4,3,2.1,1
87,Dell Inspiron 7577,1349,16,2.8,2.65,1
88,HP Pavilion 15-CK000nv,699,8,1.8,1.83,2
89,HP 250 G6,598.99,8,2.5,1.96,2
90,Asus FX503VM-E4007T (i7-7700HQ/16GB/1TB,1449,16,2.8,2.2,1
91,Dell XPS 13,1649,8,1.8,1.21,1
92,Asus FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,699,8,3,2.45,1
93,Acer Aspire 5,689,8,1.8,2.2,3
94,HP Probook 430,1197,16,1.8,1.49,1
95,Dell Inspiron 7577,1195,8,2.5,2.65,5
96,Asus Zenbook UX430UA,1049,8,2.7,1.25,1
97,Acer Spin 5,847,8,1.6,1.5,1
98,Dell Inspiron 3567,599.9,8,2.7,2.2,2
99,Dell Inspiron 3567,485,4,2,2.2,5
100,Asus X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,577,6,2.4,2,2
102,HP Omen 15-ce007nv,1249,12,2.8,2.62,1
