id,model,price,ram,cpu,weight,layer
161,Dell Inspiron 5579,1049,8,1.8,1.56,6
163,Toshiba Satellite Pro,447,4,2.2,2.1,6
164,Asus X555BP-XX180T (A9-9420/4GB/1TB/Radeon,403,4,3,2.03,1
165,Acer Aspire A517-51G,805,4,1.6,3,25
166,Dell Inspiron 3576,728,8,1.6,2.13,7
167,Lenovo Legion Y520-15IKBN,1079,16,2.8,2.5,1
168,Acer Aspire A315-31,348,4,1.1,2.1,11
169,MSI GE63VR 7RE,1799,16,2.8,2.4,5
170,Acer Aspire 3,363.51,4,1.1,2.1,12
171,Dell Inspiron 5577,1060.49,8,2.8,2.56,9
172,Acer Aspire A517-51G,854,8,1.6,3,19
173,HP ProBook 430,754,4,1.6,1.49,11
174,Huawei MateBook X,1349,8,2.5,1.05,1
175,HP 17-bs001nv (i5-7200U/6GB/2TB/Radeon,699,6,2.5,2.71,10
176,Lenovo IdeaPad 320-15AST,309,4,2.9,2.2,1
177,Toshiba Satellite Pro,489,4,2.4,2,7
178,HP ProBook 470,923,8,1.6,2.5,20
179,Dell Inspiron 3567,459,8,2.4,2.3,2
180,Acer Aspire A315-51,449,4,2,2.1,10
181,MSI GT80S 6QF-074US,2799,32,2.9,4.4,1
182,Lenovo V310-15IKB (i5-7200U/8GB/1TB,813,8,2.5,1.9,4
183,HP Spectre x360,1499,8,1.6,1.29,8
184,Dell Inspiron 5570,1049,16,1.8,2.02,1
185,Dell XPS 13,1399,8,1.6,1.23,6
186,Lenovo Yoga 920-13IKB,1849,16,1.8,1.4,5
187,Toshiba Satellite Pro,793,8,2.5,2,8
188,Xiaomi Mi Notebook,1199,8,1.6,1.95,13
189,Dell Inspiron 7773,1549,16,1.8,2.77,7
190,Dell XPS 15,2397,16,2.8,2.06,7
191,Lenovo Legion Y520-15IKBN,779,8,2.5,2.4,10
192,Acer Swift 7,989,8,1.2,1.12,1
193,Dell Inspiron 5770,1085,8,1.8,2.8,22
194,Lenovo Thinkpad Yoga,2824,16,2.7,1.42,7
195,Vero K147 (N3350/4GB/32GB/FHD/W10),260,4,1.1,1.3,2
196,Xiaomi Mi Notebook,999.9,8,2.5,1.3,2
197,Lenovo IdeaPad 320-17IKBR,698,8,1.6,2.8,10
198,Dell Inspiron 5379,839,8,1.8,1.62,3
199,HP ProBook 470,914,8,1.6,2.5,19
200,Razer Blade Pro,6099,32,2.9,3.49,3
201,HP ProBook 430,959,8,1.6,1.49,5
202,HP Omen 17-W295,1379,16,2.8,3.35,6
203,HP Probook 470,1045,8,1.8,2.5,21
204,Dell Inspiron 7577,1845,16,2.8,2.65,8
205,Lenovo V110-15ISK (i5-6200U/4GB/128GB/W10),493,4,2.3,2.1,8
206,Acer Aspire E5-576G,742,8,2.7,2.23,7
207,Lenovo Legion Y720-15IKB,1749,16,2.8,3.2,10
208,Dell Precision 7520,3055,16,3,2.8,1
209,Lenovo Legion Y520-15IKBN,1398,16,2.8,2.4,4
210,Dell Inspiron 3567,439,6,2.4,2.3,2
211,Dell XPS 13,1949,8,1.8,1.21,9
212,Dell XPS 13,1449,8,1.8,1.2,6
213,Lenovo IdeaPad 320-15IKBN,597,8,2.5,2.2,5
215,Acer Aspire 7,779,8,2.8,2.4,2
216,Asus ROG GL703VD-GC028T,1407,16,2.8,2.9,6
217,HP 15-bs018nq (i3-6006U/4GB/500GB/FHD/No,349,4,2,2.1,3
218,Lenovo IdeaPad 320-15IKBN,549,8,2.5,2.2,3
219,Huawei MateBook X,1499,8,2.7,1.05,1
220,Dell Inspiron 5370,931.88,8,1.8,1.4,2
221,Lenovo IdeaPad 320-17IKB,589,8,2.5,2.8,6
222,HP Probook 440,1031,8,1.8,1.63,7
223,Dell Latitude 5490,1149,8,1.6,1.6,9
224,Dell Inspiron 5379,1279,16,1.8,1.62,3
225,Dell Inspiron 3576,677.35,8,1.6,2.2,9
226,Lenovo Yoga 520-14IKB,899,8,1.6,1.74,7
227,Toshiba Portege Z30-C-16L,1363,8,2.5,1.2,4
228,HP ProBook 450,794,8,1.6,2.1,9
229,Dell Alienware 17,2456.34,16,2.8,4.42,15
230,Acer Aspire E5-576G,832,8,2.7,2.2,9
231,Dell Inspiron 5567,859.01,16,2.7,2.3,1
232,Asus Vivobook X541UV-DM1217T,769,8,2.5,2,7
233,Asus K756UX-T4340T (i5-7200U/8GB/500GB,891,8,2.5,2.69,19
234,HP ZBook 15u,1269,8,2.7,1.9,7
235,Asus Pro P2540UA-XO0198T,398.99,4,2.4,2.37,4
236,HP 15-rb013nv (E2-9000e/4GB/500GB/W10),330,4,1.5,2.1,7
237,Lenovo Legion Y720-15IKB,1499,16,2.8,3.2,7
238,Dell Vostro 5468,859,8,2.5,1.6,3
239,Acer Aspire R7,689,8,2.3,1.6,2
240,Dell Inspiron 5567,899,16,2.7,2.36,2
241,Acer Aspire A315-51,390,4,2,2.1,6
242,Asus X555QG-DM242T (A10-9620P/4GB/1TB,575,4,2.5,2.2,13
243,Asus ROG G703VI-E5062T,3890,32,2.9,4.7,2
244,Acer Nitro AN515-51,846,8,2.5,2.5,17
245,Lenovo IdeaPad 320-15ISK,589,8,2,2.2,5
246,Asus VivoBook Pro,1145,8,1.8,2.1,16
247,Asus F756UX-T4201D (i7-7500U/8GB/128GB,889,8,2.7,2.69,11
248,Dell Inspiron 5577,879,8,2.5,2.56,18
249,Lenovo Yoga 910-13IKB,1079,8,2.7,1.38,2
250,Dell Inspiron 5570,985,8,1.8,2.2,15
251,HP 15-bs015dx (i5-7200U/8GB/1TB/W10),559,8,2.5,2.04,2
252,Asus Rog G701VIK-BA060T,2999,16,2.9,3.6,4
253,HP ProBook 430,675,4,1.6,1.49,9
254,Apple MacBook Pro,2040,8,3.1,1.37,2
255,Dell Inspiron 5579,819,8,1.8,2.08,10
256,Asus ROG G752VSK-GC493T,1799,16,2.8,4.3,11
257,Asus X505BP-BR019T (A9-9420/4GB/1TB/Radeon,469,4,3,1.68,1
258,Lenovo Yoga 920-13IKB,1849,8,1.8,1.37,11
259,Acer Aspire 5,702,4,2.7,3,10
260,Dell Vostro 5370,949,8,1.6,1.41,4
261,HP 15-BW094nd (A6-9220/8GB/128GB/W10),445.9,8,2.5,1.91,1
262,HP Envy 17-U275cl,1059,16,1.8,2.9,4
263,MSI GT73EVR 7RE,2499,16,2.8,4.14,16
264,Lenovo Yoga 720-15IKB,1699,8,2.8,2,4
265,Dell Inspiron 5770,1142,8,1.8,2.8,24
266,Lenovo IdeaPad 320-15ISK,444,4,2,2.2,10
267,HP ProBook 450,722,4,1.6,2.1,16
268,Dell Vostro 3568,657,4,2.5,2.18,14
269,Dell Inspiron 3567,565,8,2.5,2.24,4
270,Dell Inspiron 5579,799,8,1.6,2.67,14
271,Asus ZenBook Flip,1499,8,1.8,1.1,4
272,Lenovo IdeaPad 320-15IKBN,467,4,2.5,2.2,6
273,HP Probook 470,1018,8,1.8,2.5,20
274,Lenovo V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),880,8,1.8,2.05,11
275,Apple MacBook Pro,1958.9,8,2.9,1.37,2
276,Asus Rog Strix,1549,16,3,3.2,1
277,Dell Inspiron 3576,735.07,8,1.8,2.14,7
278,Lenovo ThinkPad X1,2499,16,2.6,1.36,6
279,Toshiba Satellite Pro,812,8,2.5,2.2,11
280,Dell Inspiron 5567,713.07,12,2.7,2.3,2
281,Dell Inspiron 5770,1099,8,1.8,2.8,23
282,Acer Aspire A515-51G,745,8,1.8,2.2,9
283,Lenovo IdeaPad 320-17ISK,489,4,2,2.8,17
284,Lenovo IdeaPad 320-17IKBR,849,8,1.8,2.8,18
285,Lenovo IdeaPad 320-17IKB,859,6,2.7,2.8,11
286,Dell Inspiron 3567,428,4,2,2.25,8
287,Lenovo Legion Y520-15IKBN,829,8,2.5,2.5,15
288,Lenovo Ideapad 320-15IKBN,579,6,2.5,2.2,5
289,Acer Aspire A517-51G,951,8,1.8,3,21
290,Acer SP315-51 (i7-7500U/12GB/1TB/FHD/W10),659,12,2.7,2.15,1
291,Lenovo Thinkpad T570,1097,8,2.7,1.95,5
292,Asus VivoBook S15,977,8,2.5,1.7,6
293,Lenovo Legion Y520-15IKBN,1179,16,2.8,2.5,2
294,Lenovo IdeaPad 320-15IKB,659.01,8,2.7,2.2,4
295,Acer Chromebook C910-C2ST,199,2,1.5,2.19,3
296,Asus FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,1187,8,2.8,3,13
297,HP 17-BS037cl (i3-6006U/8GB/1TB/W10),489,8,2,2.54,4
298,Dell XPS 15,1829,8,2.8,2,6
299,Lenovo V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),739,8,1.6,2.05,8
300,Lenovo Legion Y720-15IKB,1299,8,2.8,3.2,15
301,Acer Aspire A715-71G,979,8,2.8,2.5,6
302,Dell Precision 7720,2884.86,16,2.9,3.42,3
303,Lenovo IdeaPad 310-15ABR,499,6,2.4,2.4,4
304,Asus ZenBook UX530UQ-PRO,1468,16,2.7,1.63,2
305,Asus VivoBook S14,509,4,2.4,1.3,1
306,Asus Rog GL702VS-GC095T,2122,16,2.8,2.9,12
307,Lenovo IdeaPad 320-17IKB,649,6,2.5,2.8,9
308,Lenovo IdeaPad 320-15IKBN,549,8,2.5,2.2,3
309,Asus GL553VE-FY082T (i7-7700HQ/8GB/1TB,1265,8,2.8,2.5,13
310,Lenovo IdeaPad 320-15IAP,359.99,4,1.1,2.2,14
311,HP EliteBook x360,1975,16,2.8,1.28,2
312,Toshiba Satellite Pro,1043,8,2.5,2.2,16
313,Lenovo IdeaPad 320-15IKB,819,8,2.5,2.3,12
314,HP 250 G6,469,4,2,1.86,7
315,Lenovo IdeaPad 720S-13IKB,999,8,2.5,1.1,1
316,Dell XPS 13,2499,16,1.8,1.21,5
317,MSI GE63VR 7RF,2099,16,2.8,2.8,10
318,Acer ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),469,8,2.2,2.23,2
319,Asus VivoBook Flip,275,2,1.1,1.1,3
320,Dell Inspiron 5570,844,8,1.6,2.33,14
321,HP Spectre x360,2449,16,1.8,1.29,6
322,Lenovo ThinkPad 13,459.9,4,1.6,1.45,7
323,HP ProBook 640,980,8,2.5,1.95,8
324,Acer TravelMate B,485,4,1.6,1.4,8
325,HP Elitebook 840,1292,8,2.7,1.48,5
326,Lenovo IdeaPad 320-17IKB,589,4,2.5,2.79,15
327,Asus ZenBook UX410UA-GV183T,1094,8,2.7,2,6
329,HP ProBook 450,902,8,1.8,2.1,12
330,Acer Aspire 5,659,8,2.7,2.2,3
331,Lenovo IdeaPad 120S-14IAP,292,4,1.1,1.44,4
332,Acer Aspire E5-575,549,6,2.5,2.23,4
333,Asus VivoBook S15,1049.9,8,2.7,1.7,2
334,HP Elitebook 820,1335,8,2.7,1.26,2
335,Dell XPS 15,2639,32,2.8,2.06,1
336,MSI GL72M 7REX,1199,8,2.8,2.7,13
337,Toshiba Satellite Pro,943,8,2.5,2,10
338,Asus UX510UX-CN269T (i7-7500U/8GB/256GB,1334,8,2.7,2,10
339,Lenovo V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),449,4,2,1.85,4
340,Asus FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,999,8,2.8,2.5,7
341,HP EliteBook 840,1268,8,2.6,1.48,5
342,Dell Inspiron 7570,1049,8,1.6,1.9,9
343,HP Elitebook 850,1144,8,2.5,1.84,9
344,Asus X541NA (N3350/4GB/1TB/Linux),274.99,4,1.1,2,6
345,Dell Inspiron 7570,1142.75,8,1.6,2,13
346,Dell Inspiron 3552,274.9,4,1.6,2.2,4
347,Lenovo IdeaPad 320-15ABR,899,12,3.6,2.2,1
348,HP ProBook 450,716,8,2.4,2.1,6
349,Lenovo Yoga 920-13IKB,2099,16,1.8,1.4,6
350,Dell XPS 13,1579,8,1.8,1.2,7
351,Lenovo Legion Y520-15IKBN,1129,16,2.8,2.4,1
352,HP Stream 14-AX001nv,279,2,1.6,1.44,4
353,Dell Latitude 5590,1607.96,16,1.9,1.88,3
354,Asus VivoBook Flip,375,4,1.1,1.5,7
355,Dell Inspiron 5570,663,8,1.6,1.9,3
356,Dell XPS 15,2027.42,16,2.8,2.06,5
357,HP Elitebook 850,1304,8,2.7,1.84,7
358,MSI GP72MVR 7RFX,1409,8,2.8,2.7,17
359,HP Zbook 15,1738.27,8,2.8,2.6,14
360,Toshiba Tecra A50-C-21G,1403,16,2.5,2.4,5
361,Dell Inspiron 5570,970.9,8,1.8,2.02,12
362,Lenovo IdeaPad 320-15IAP,321.99,4,1.1,2.2,11
363,Dell Inspiron 7577,999,8,2.5,2.65,21
364,Dell Inspiron 3567,557.37,8,2.5,2.36,4
365,Dell Latitude 7480,1427,8,2.6,1.36,4
366,HP 250 G6,439,4,2,1.86,6
367,Asus Zenbook UX410UA-GV027T,945,8,2.5,2,11
368,Lenovo IdeaPad 320-17IKB,719,6,2.5,2.8,11
369,HP 250 G6,639,8,2.5,1.86,2
370,Lenovo IdeaPad 320-15ISK,499,8,2,2.2,3
371,HP 15-AY023na (N3710/8GB/2TB/W10),389,8,1.6,2.04,2
372,Dell Inspiron 5770,1085,8,1.6,2.8,24
373,Lenovo Legion Y520-15IKBN,809,8,2.5,2.4,13
374,Dell Inspiron 5567,899,8,2.7,2.33,12
375,HP Elitebook 1040,1750,8,2.7,1.36,7
376,Asus ZenBook Flip,1099,12,2.7,2.26,3
377,Acer Aspire 3,426,4,3,2.1,3
378,Asus Rog Strix,2199,16,3,3.25,2
379,Lenovo IdeaPad 110-17ACL,489,4,2.2,2.6,8
380,Dell Inspiron 5379,869.01,8,1.8,1.62,4
381,HP 15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),488.99,4,3,1.91,2
382,Lenovo Yoga 11e,553,4,1.1,1.59,9
383,Dell Inspiron 3552,309,4,1.6,1.8,4
384,Asus VivoBook E403NA,286,4,1.1,1.5,5
385,Acer Aspire 7,846,8,2.8,2.4,3
386,HP Omen 17-w212nv,1191,8,2.8,3.35,14
387,Lenovo V310-15ISK (i3-6006U/4GB/128GB/FHD/No,403.5,4,2,1.85,2
388,Asus ROG Strix,1655,8,2.8,2.3,9
389,Lenovo IdeaPad 720S-14IKB,1099,8,2.5,1.5,6
390,Asus Zenbook Flip,1748.9,16,2.7,1.1,2
391,Lenovo Thinkpad X1,2282,8,2.7,1.13,6
392,Lenovo Ideapad 510S-13IKB,549,4,2.4,1.5,2
393,Dell Precision 3510,1369,8,2.6,2.23,13
394,Dell Precision 5520,2135,8,2.7,2,13
395,Lenovo ThinkPad X1,2509,16,2.7,1.42,6
396,Asus Rog GL753VD-GC042T,1039,8,2.8,3,8
397,Asus Rog GL753VE-GC070T,1591,16,2.8,3,8
399,Acer Aspire 5,693.99,12,1.6,2.2,2
400,MSI Leopard GP72M,1349,8,2.8,2.7,16
401,Dell Inspiron 5567,778.87,8,2.7,2.33,9
402,HP 15-BW004nv (A9-9420/4GB/256GB/Radeon,499,4,3,1.91,3
403,Lenovo ThinkPad E580,1229.56,8,1.8,2.1,17
404,Lenovo ThinkPad L470,938,8,2.5,1.9,6
405,Dell Precision M5520,2712,8,2.8,1.78,6
406,Lenovo Thinkpad X1,2625,16,2.7,1.13,4
407,Lenovo IdeaPad 320-15IAP,306,4,1.1,2.2,9
408,Asus FX753VD-GC461T (i7-7700HQ/16GB/1TB,1529,16,2.8,2.9,7
409,Lenovo ThinkPad E580,1144.5,8,1.6,2.1,16
410,Acer Aspire 7,879,8,2.8,2.5,5
411,MSI GE73VR 7RF,2249,16,2.8,2.8,11
412,Asus Zenbook 3,1873,8,2.7,1.1,4
413,Toshiba Portege Z30-C-16P,1747,16,2.5,1.2,2
414,Dell Latitude 7480,1680,8,2.8,1.36,1
415,Lenovo IdeaPad 320-15ISK,409,4,2,2.2,7
416,Lenovo Lenovo IdeaPad,304.45,2,1.1,1.15,4
417,Lenovo ThinkPad P51,1925,8,2.8,2.67,15
418,Lenovo Thinkpad T470p,1943,8,2.8,1.7,4
419,HP 15-BS028nv (i3-6006U/4GB/1TB/Radeon,469,4,2,2.1,11
420,Acer Aspire R7,789.01,8,2.5,1.6,1
421,Asus ZenBook Flip,928,8,2.5,1.27,1
422,Dell Inspiron 3567,598.9,4,2.5,2.3,15
423,Dell Latitude 3380,689,4,2,1.65,5
424,HP EliteBook 1040,1500,8,2.5,1.43,8
425,Dell Inspiron 3567,539.95,8,2.5,2.14,2
426,Lenovo ThinkPad E480,1215.38,8,1.8,1.75,11
427,Lenovo Yoga 720-15IKB,1899,16,2.8,2,3
428,Chuwi LapBook 12.3,449,6,1.1,1.4,1
429,HP ProBook 650,1427,8,2.9,2.31,3
430,Asus X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,597,8,2.4,2.3,7
431,Dell Alienware 17,2799,16,2.9,4.42,4
432,Dell Inspiron 7577,1159,8,2.8,2.62,11
433,Dell Inspiron 5570,1142.4,8,1.8,2.02,13
434,Dell Latitude 5480,1099,8,2.8,1.6,1
435,HP Omen 17-w207nv,1999,12,2.8,3.35,11
436,Mediacom FlexBook Edge,299,4,1.1,1.16,2
437,Samsung Chromebook 3,269,4,1.6,1.15,1
438,Lenovo Thinkpad 13,1010,8,2.7,1.4,1
439,Lenovo IdeaPad 320s-14IKB,599,4,2.7,1.7,2
440,Lenovo Thinkpad T570,2445,16,2.8,2.3,9
441,Lenovo Thinkpad P51,2449,16,2.9,2.5,1
442,Asus Rog Strix,1695,8,3.2,3.2,3
443,HP 15-ra044nv (N3060/4GB/500GB/W10),347,4,1.6,2.1,7
444,Google Pixelbook (Core,2199,16,1.3,1.1,5
445,Lenovo ThinkPad T470s,2382,24,2.7,1.32,1
446,Asus VivoBook Max,559,4,2.5,2,10
447,Lenovo IdeaPad 320-15AST,519,8,2.5,2.8,3
